Symbol,Listed_MIC,Monthly_ADV,NYSE_ADV,NYSE_ADV_%,Company_Name,Country
ATHM,XNYS,"999,373","409,106",40.94%,Autohome Inc.,China
EDN,XNYS,"102,024","41,502",40.68%,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,Argentina
LPL,XNYS,"987,402","388,447",39.34%,"LG Display Co., Ltd.",South Korea
UMC,XNYS,"8,661,560","3,389,725",39.14%,United Microelectronics Corporation,Taiwan
CPAC,XNYS,"18,115","7,012",38.71%,Cementos Pacasmayo S.A.A.,Peru
AXIA-C,XNYS,"151,401","58,031",38.33%,AXIA Energia SA (Warrant),Brazil
NMR,XNYS,"1,585,390","604,643",38.14%,"Nomura Holdings, Inc.",Japan
ASX,XNYS,"9,179,259","3,457,856",37.67%,"ASE Technology Holding Co., Ltd.",Taiwan
DAO,XNYS,"111,195","41,473",37.30%,"Youdao, Inc.",China
CMCM,XNYS,"14,559","5,380",36.95%,Cheetah Mobile Inc.,China
AKO.A,XNYS,"1,140",421,36.93%,Embotelladora Andina S.A. (Class A),Chile
DQ,XNYS,"662,126","244,402",36.91%,Daqo New Energy Corp.,China
PSO,XNYS,"1,316,754","484,330",36.78%,Pearson plc,United Kingdom
IRS,XNYS,"182,908","66,424",36.32%,IRSA Inversiones y Representaciones Sociedad Anónima,Argentina
UGP,XNYS,"2,005,930","721,606",35.97%,Ultrapar Participações S.A.,Brazil
CSAN,XNYS,"2,112,206","736,123",34.85%,Cosan S.A.,Brazil
VIPS,XNYS,"1,793,458","599,672",33.44%,Vipshop Holdings Limited,China
AXIA,XNYS,"2,284,319","734,129",32.14%,AXIA Energia SA,Brazil
BAK,XNYS,"1,623,239","517,373",31.87%,Braskem S.A.,Brazil
XYF,XNYS,"154,384","49,005",31.74%,X Financial,China
MUFG,XNYS,"3,750,164","1,187,532",31.67%,"Mitsubishi UFJ Financial Group, Inc.",Japan
MFG,XNYS,"5,135,964","1,626,144",31.66%,"Mizuho Financial Group, Inc.",Japan
BSAC,XNYS,"274,960","87,057",31.66%,Banco Santander-Chile,Chile
CUK,XNYS,"2,723,258","859,556",31.56%,Carnival Corporation & plc,United States
TAK,XNYS,"2,753,726","858,722",31.18%,Takeda Pharmaceutical Company Limited,Japan
